Timestamp,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth,doy,declinacion,hora_solar,angulo_horario,theta_z,E0h,kt,POA
2000-01-17,420.9600694444444,559.6935763888889,81.51440972222223,20.897916666666667,18.866666666666667,26.954166666666666,837.5916666666667,6.866666666666667,160.0625,0.0,17.0,-20.91696257447642,11.5,-7.5,78.06052461274398,491.2089642880667,1.391331795843065,473.39663816575666
2000-01-18,407.0520833333333,520.2605902777777,84.20920138888889,21.775000000000002,19.729166666666668,29.433333333333334,840.2875,5.8374999999999995,175.625,0.0,18.0,-20.73138310817188,11.5,-7.5,78.15442578173274,490.6739072481142,1.364743091316334,450.00278466257606
2000-01-19,357.65486111111113,495.69895833333334,19.014930555555555,15.416666666666666,17.245833333333334,31.316666666666666,835.6374999999999,3.9749999999999996,153.625,0.0,19.0,-20.539660485632503,11.5,-7.5,78.25179435935748,490.11411510470333,1.338442995158278,373.1617069761387
2000-01-20,430.15000000000003,583.7934027777777,56.89166666666667,17.870833333333334,17.870833333333334,33.17916666666667,835.3249999999999,4.579166666666667,175.4375,0.0,20.0,-20.34185151840905,11.5,-7.5,78.35263289811277,489.5292572602757,1.3607194859148706,429.72250309328643
2000-01-21,453.3461805555556,507.48854166666666,198.6208333333333,13.454166666666666,16.916666666666668,32.625,833.7041666666668,8.487499999999999,166.125,0.0,21.0,-20.13801482156758,11.5,-7.5,78.45694292828644,488.91900144943247,1.3838320249870038,485.1568600697538
2000-01-22,306.9076388888889,197.82916666666665,227.41354166666667,17.375,17.375,31.86666666666667,836.0333333333333,4.7749999999999995,150.6875,0.0,22.0,-19.928210796320524,11.5,-7.5,78.56472485042251,488.28301458878656,1.286687573254666,346.4979515443295
2000-01-23,338.90208333333334,488.69374999999997,18.489236111111108,17.033333333333335,17.033333333333335,32.291666666666664,836.0791666666668,4.75,156.0,0.0,23.0,-19.71250161212852,11.5,-7.5,78.67597782760959,487.62096363991674,1.3214825455637431,357.3747468579552
2000-01-24,334.36145833333336,399.1541666666667,97.74305555555556,15.114583333333334,15.112499999999999,32.3125,833.3833333333333,4.989583333333333,151.3125,0.0,24.0,-19.490951188278192,11.5,-7.5,78.79069967830851,486.93251648395363,1.297792375938425,356.92611338671423
2000-01-25,373.78090277777784,492.80833333333334,41.55416666666667,16.212500000000002,16.212500000000002,29.941666666666666,834.5833333333334,4.541666666666667,155.875,0.0,25.0,-19.26362517494162,11.5,-7.5,78.90888677046074,486.21734280630153,1.342995141069782,380.770153557987
2000-01-26,391.6368055555556,546.1805555555555,20.30798611111111,16.254166666666666,16.254166666666666,31.075,834.1999999999999,4.704166666666667,153.75,0.0,26.0,-19.030590933722618,11.5,-7.5,79.03053391763434,485.47511498996755,1.3652464397283641,402.34360981364085
2000-01-27,393.0986111111111,549.6545138888889,20.29583333333333,16.495833333333334,16.495833333333334,30.25833333333333,835.6374999999999,4.566666666666666,171.25,0.0,27.0,-18.791917517696174,11.5,-7.5,79.15563427796705,484.70550901594135,1.367760232884654,404.22707445135876
2000-01-28,368.3211805555556,506.9642361111111,18.668055555555554,14.93125,15.608333333333334,28.483333333333334,834.6916666666666,4.4125,165.125,0.0,28.0,-18.54767565094643,11.5,-7.5,79.28417925665613,483.90820536904965,1.3557459456735275,380.39920804379176
2000-01-29,393.1434027777778,550.9743055555556,20.234375,17.145833333333332,17.145833333333332,29.175,837.8458333333333,5.091666666666667,164.9375,0.0,29.0,-18.297937707609695,11.5,-7.5,79.41615841272022,483.0828899476812,1.3705512646976652,404.5929930080238
2000-01-30,421.14236111111114,568.4934027777778,81.03888888888889,19.754166666666666,17.658333333333335,29.379166666666666,842.3666666666667,6.995833333333334,170.875,0.0,30.0,-18.04277769042833,11.5,-7.5,79.55155937072239,482.229254975763,1.3891518328722874,471.0809536199577
2000-01-31,390.29062500000003,549.0059027777778,20.23402777777778,14.183333333333332,15.491666666666667,29.6875,837.8666666666667,4.408333333333333,157.625,0.0,31.0,-17.78227120882229,11.5,-7.5,79.69036773809273,481.3469999153504,1.371218628520768,402.73890639871934
2000-02-01,305.1694444444445,412.66215277777775,15.472222222222221,11.4625,15.804166666666667,42.579166666666666,828.4,3.1958333333333333,173.75,0.0,32.0,-17.516495456484215,11.5,-7.5,79.83256702862862,480.43583237818115,1.317469931215991,318.89760816933017
2000-02-02,378.8208333333334,528.5211805555556,19.871180555555558,16.514583333333334,16.5125,42.608333333333334,831.0333333333333,4.635416666666667,161.0625,0.0,33.0,-17.24552918850547,11.5,-7.5,79.97813859267858,479.4954690345315,1.3639468765151557,390.27015808251116
2000-02-03,380.2652777777778,531.9184027777777,19.98541666666667,16.314583333333335,16.308333333333334,42.833333333333336,830.8541666666666,4.589583333333333,166.8125,0.0,34.0,-16.96945269803914,11.5,-7.5,80.1270615544367,478.5256365177068,1.3658904344096214,390.3911050100476
2000-02-04,420.03333333333336,555.0958333333334,80.94548611111111,13.654166666666667,15.674999999999999,38.025,830.0749999999999,6.645833333333333,158.5,0.0,35.0,-16.688347792507624,11.5,-7.5,80.27931275668777,477.5260723224935,1.390422062574615,454.5970498202219
2000-02-05,280.3961805555556,181.22708333333333,203.40312500000002,17.270833333333332,17.270833333333332,44.166666666666664,834.5333333333333,4.55,171.4375,0.0,36.0,-16.402297769361123,11.5,-7.5,80.43486671325472,476.49652569589813,1.239280008158995,273.6204104999304
2000-02-06,357.3236111111112,340.86284722222223,178.22048611111111,14.85,16.787499999999998,72.89583333333333,834.6666666666666,6.4624999999999995,151.8125,0.0,37.0,-16.111387391395002,11.5,-7.5,80.59369556930712,475.43675851850463,1.346604884867836,384.9917106040983
2000-02-07,364.79166666666674,505.97291666666666,19.600347222222222,15.700000000000001,15.708333333333334,67.64166666666667,832.7291666666666,4.89375,153.0,0.0,38.0,-15.815702861632593,11.5,-7.5,80.75576906960022,474.34654617478265,1.3586369929809745,371.73716357086397
2000-02-08,326.0850694444445,321.65277777777777,89.78576388888888,16.345833333333335,16.345833333333335,62.125,836.4250000000001,5.258333333333334,155.0,0.0,39.0,-15.515331797781426,11.5,-7.5,80.9210545346253,473.22567841069184,1.3078005801410588,301.48289246795514
2000-02-09,451.1454861111111,578.4111111111112,127.50208333333335,11.9625,16.758333333333333,61.666666666666664,834.9250000000001,7.2625,146.875,0.0,40.0,-15.210363206270324,11.5,-7.5,81.08951684457023,472.0739601769404,1.407735097687847,496.04069902570274
2000-02-10,382.28923611111117,529.615625,35.31805555555555,15.533333333333333,16.425,52.48333333333333,831.2291666666666,4.504166666666667,150.3125,0.0,41.0,-14.900887455874662,11.5,-7.5,81.26111843091314,470.89121245626967,1.3668717457455706,382.7206341946193
2000-02-11,366.570138888889,514.7822916666667,19.63576388888889,16.0625,16.0625,49.48333333333333,831.25,4.779166666666667,149.5,0.0,42.0,-14.586996250938356,11.5,-7.5,81.43581927540436,469.6772730731622,1.3693996416013308,376.9780712474185
2000-02-12,405.19513888888895,517.9614583333333,79.72673611111111,12.375,16.025000000000002,45.487500000000004,833.6708333333332,6.1875,148.875,0.0,43.0,-14.268782604199714,11.5,-7.5,81.61357691613377,468.4319974843879,1.4046500971374236,429.85885173511684
